date,window,fixed_10pct,raw_gate,debounce_2of3,debounce_3of3,fixed_10pct_00713_weight,raw_gate_00713_weight
2025-06-02,ncf_panel_2025_2026,970444.1979953758,966165.8224254919,968238.222875084,968323.1891148018,0.1,0.1
2025-06-03,ncf_panel_2025_2026,973058.13704207,968917.5500415924,970939.3582258663,971044.5820831441,0.1,0.1
2025-06-04,ncf_panel_2025_2026,981736.433822156,978053.3058813014,979907.1473741699,980079.6266701183,0.1,0.1
2025-06-05,ncf_panel_2025_2026,982468.3176101691,978823.7694595545,980663.4454886827,980841.5967691768,0.1,0.1
2025-06-06,ncf_panel_2025_2026,983473.0540924858,979851.366927922,981679.4824013382,981862.7284756192,0.1,0.1
2025-06-09,ncf_panel_2025_2026,986349.0024181906,982960.435972309,984700.2771373888,984917.3535184555,0.10021387733032887,0.1
2025-06-10,ncf_panel_2025_2026,1009034.7674896966,1005566.0101990526,1007348.1219653542,1007570.1910455277,0.1,0.1
2025-06-11,ncf_panel_2025_2026,1012412.7547198288,1008932.3849276043,1010720.4627428304,1010943.2752528056,0.1,0.1
2025-06-12,ncf_panel_2025_2026,1011170.0113849253,1007693.9137695795,1009479.7967074921,1009702.3357136415,0.1,0.1
2025-06-13,ncf_panel_2025_2026,1006815.162650185,1003354.0356917332,1005132.2272919232,1005353.807879905,0.1,0.1
2025-06-16,ncf_panel_2025_2026,1007931.5257759443,1004466.5610976673,1006246.7243681366,1006468.550646099,0.1,0.1
2025-06-17,ncf_panel_2025_2026,1008978.4047419833,1005509.8412094717,1007291.8534304266,1007513.9101062468,0.1,0.1
2025-06-18,ncf_panel_2025_2026,1016404.6154305132,1012910.5228247747,1014705.6508846218,1014929.3419261051,0.1,0.1
2025-06-19,ncf_panel_2025_2026,1006707.1908930682,1003246.4351089622,1005024.4360142972,1005245.9928397788,0.1,0.1
2025-06-20,ncf_panel_2025_2026,1004323.265851241,1000870.7052826376,1002644.4958069193,1002865.5279765038,0.1,0.1
2025-06-23,ncf_panel_2025_2026,996256.1475472146,992831.3192989763,994590.8620421975,994810.1187947206,0.1,0.1
2025-06-24,ncf_panel_2025_2026,1013544.5634946858,1010060.3028851517,1011850.3796500668,1012073.4412493119,0.1,0.1
2025-06-25,ncf_panel_2025_2026,1025713.6612798657,1022187.5669813221,1023999.1362587324,1024224.876041563,0.1,0.1
2025-06-26,ncf_panel_2025_2026,1025514.4931964594,1021989.0835777342,1023800.3010934448,1024025.9970432238,0.1,0.1
2025-06-27,ncf_panel_2025_2026,1025961.4528699567,1022434.5067386394,1024246.5136543975,1024472.3079713753,0.1,0.1
2025-06-30,ncf_panel_2025_2026,1027445.769264038,1023913.7205005027,1025728.3489490325,1025954.4699354046,0.1,0.1
