,0050.TW,0056.TW,00646.TW,00679B.TWO,00713.TW,00751B.TWO,00878.TW,2884.TW,total,daily_return,cumulative_return
2026-01-29 00:00:00+08:00,76405.0,613821.731426239,2193.60009765625,613615.9229278564,239820.91898345947,31562.16812133789,316601.2629547119,674.0000152587891,1894694.6045265198,-0.006217799347832065,10.137697852007605
2026-01-30 00:00:00+08:00,75213.59841918945,602912.2246437073,2185.60009765625,614982.0041656494,236820.2730331421,31601.655960083008,310076.18479156494,668.0000305175781,1874459.54114151,-0.010679854862449711,10.137697852007605
2026-02-02 00:00:00+08:00,74074.0,596013.5788459778,2174.39990234375,623178.7548065186,234742.88763427734,31986.684799194336,305454.253326416,665.9999847412109,1868290.559299469,-0.0032910722833122685,10.137697852007605
2026-02-03 00:00:00+08:00,75576.1968383789,603714.4219093323,2217.60009765625,616575.8094787598,236820.2730331421,31769.489288330078,310076.18479156494,668.0000305175781,1877417.975467682,0.004885437183622665,10.137697852007605
2026-02-04 00:00:00+08:00,75524.40158081055,607083.5250816345,2195.199951171875,618397.294998169,237281.9122467041,31759.614944458008,311027.7317504883,674.0000152587891,1883943.680568695,0.0034758935869820817,10.137697852007605
2026-02-05 00:00:00+08:00,74592.0,602430.9062843323,2188.800048828125,619763.4201049805,238205.17279815674,31828.725814819336,309260.5467224121,679.0000152587891,1878948.5717887878,-0.002651410884214611,10.137697852007605
2026-02-06 00:00:00+08:00,74488.40158081055,601949.6505966187,2158.39990234375,625227.876663208,238666.82988739014,31917.577743530273,308580.87032318115,680.0,1883669.6066970825,0.002512594000271262,10.137697852007605
2026-02-09 00:00:00+08:00,76612.1968383789,610131.7493476868,2204.800048828125,622267.9901123047,239820.91898345947,31887.958526611328,313610.58123779297,674.0000152587891,1897210.195110321,0.007188409456253542,10.137697852007605
2026-02-10 00:00:00+08:00,78218.0,615105.247051239,2204.800048828125,623634.1152191162,240282.55819702148,31887.958526611328,315785.5984954834,675.9999847412109,1907794.2775230408,0.005578761088253836,10.137697852007605
2026-02-11 00:00:00+08:00,79979.1968383789,620880.8793487549,2201.60009765625,627960.1707458496,241898.30438232422,31957.063674926758,318232.5127029419,683.0000305175781,1923792.72782135,0.008385836191458163,10.137697852007605
2026-02-23 00:00:00+08:00,80186.40158081055,627779.5878181458,2174.39990234375,634335.391998291,246514.67864227295,32223.621368408203,321495.03858947754,696.9999694824219,1945406.1198692322,0.011234782071537719,10.137697852007605
2026-02-24 00:00:00+08:00,82258.40158081055,637245.2021942139,2171.199951171875,635246.1128234863,247668.76773834229,32203.876495361328,325301.30559539795,694.0000152587891,1962788.866394043,0.008935279038794874,10.137697852007605
2026-02-25 00:00:00+08:00,84019.59841918945,642539.5161323547,2172.800048828125,633880.0315856934,248592.02828979492,32105.152130126953,326252.878944397,699.0000152587891,1970261.0055656433,0.0038068991013424647,10.137697852007605
